,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
24,0.028507141,-0.10429172,0.049854983,0.22373238,-0.14817925,0.030639514,0.37663606,-0.4604366,0.23945938,0.12646924,0.096009836,0.0969418,-0.08938294,0.18095203,-0.35725486,-0.026497284,-0.5693293,-0.31829113,0.05390159,0.15450846,-0.2845582,0.24250698,0.041322388,0.3259353,0.087144166,0.28924513,0.46778214,0.093106225,-0.29693085,-0.04056012,-0.27814952,0.31599483,0.2279293,0.6032599,-0.22100708,-0.3576551,0.16356699,-0.6003794,0.24601938,0.2181529,0.027124463,-0.11879494,0.017310156,-0.08903119,0.41039565,0.018676415,0.01582242,0.49007577,-0.16742809,-0.15138929,-0.00060867623,0.08169336,-0.10112978,0.17847855,-0.09719535,0.41784626,-0.21072666,0.09496193,0.063372724,-0.1041273,-0.010734428,0.003827379,0.19309703,-0.18114375
25,0.3192906,0.09586038,0.10454413,-0.2546202,0.23744167,-0.084607184,-0.014757822,-0.4311668,0.22091992,0.31023526,-0.24989057,-0.03539873,0.00012832417,-0.20214973,-0.37622198,0.019776054,-0.25862753,0.010583078,0.12357274,-0.25217032,-0.26693565,0.071723215,-0.30132294,0.17603055,-0.09048352,-0.022598522,-0.012814646,0.123331055,-0.13207932,0.19545683,0.14946169,0.010519549,-0.16139586,-0.078585476,0.2007504,-0.42476955,0.3080802,-0.066928335,-0.15180525,-0.11120324,0.43397442,0.072702065,0.34964314,0.07206858,0.16752312,-0.098333,0.40326244,-0.64113355,-0.62330514,0.04053141,0.039975587,0.04032142,0.34439513,0.19432859,-0.0026811769,0.16266109,0.122242965,0.5360388,0.10487526,-0.33650905,0.37219393,-0.22986354,0.12982851,0.29068056
26,-0.08156087,0.2878905,0.12963873,0.004121771,0.46112856,-0.056205414,-0.14354043,-0.47401598,0.049036093,0.2037558,0.059025545,-0.056204345,0.10457618,0.26726547,0.12428194,0.40203682,-0.16486886,0.019279001,-0.032206878,-0.2105439,-0.40055716,0.034165416,-0.026103793,-0.15376684,-0.33084825,-0.12272004,0.33888286,0.04964261,-0.40735653,0.10686467,0.10064974,0.13137987,-0.2056274,0.41246438,-0.08391764,0.24400018,0.07261731,-0.3158232,-0.036058374,0.34753683,-0.4817852,0.16622883,0.061692987,0.33108562,-0.27118796,0.20235488,-0.3557921,-0.119902134,-0.29164466,-0.1906877,-0.2406296,-0.08376129,0.29850855,-0.22007616,0.09829734,0.4696712,0.05500292,-0.039452676,-0.07678381,-0.15457863,-0.074512124,-0.3929603,-0.10884344,-0.11793496
27,0.039740454,0.28173408,0.43370438,0.11803638,-0.40453473,-0.37442473,0.20163018,-0.113128155,0.10235298,-0.4594258,-0.16066492,0.23465578,0.44322193,0.29538625,0.100011684,0.27714136,-0.42005876,-0.034844708,0.39513627,0.1585101,-0.15741158,0.015044445,-0.08330644,0.4163684,-0.024349274,-0.059333414,0.00053897605,-0.28085545,-0.29489797,-0.04799191,0.42986187,0.14969881,0.01848453,0.18405694,-0.13295008,-0.33440942,-0.06893633,-0.045040797,0.07135917,-0.32184875,0.3509896,0.111288995,-0.29018146,-0.0070228023,-0.2554032,0.15960088,0.042937383,-0.22006187,-0.683809,0.23430045,-0.00024322841,-0.11843837,-0.023258671,-0.030851163,0.17839152,-0.18130575,0.051506802,-0.14892961,-0.055698015,0.13034606,0.20076819,-0.25817138,-0.019771598,0.06322165
28,0.10745579,0.09875687,0.048992705,0.59842825,0.28237516,0.24488172,-0.10147963,-0.14731728,-0.58207875,0.18501344,0.050512865,0.3411422,0.005186805,-0.6302583,0.14839795,-0.025633503,-0.22570689,0.09307537,0.04740653,0.30177614,0.19167945,1.0249981,0.031697564,0.414888,-0.3198889,0.25669795,-0.1662611,-0.29822642,0.3848319,-0.08916237,0.15363848,0.30769056,-0.008521254,0.25317672,-0.40131983,0.07931849,0.06637821,0.05096025,-0.26521933,0.018050456,-0.017770553,0.12131181,-0.10240547,-0.30485505,0.097449236,0.05699898,0.19538006,-0.6701419,-0.38748497,0.014648713,0.26915556,-0.18024215,0.25739032,-0.40885535,-0.3597841,0.31525502,-0.41711426,0.11889435,-0.016712178,-0.32469043,-0.37577453,-0.28866994,-0.15315175,-0.15165459
29,-0.09836985,0.008155322,0.46431562,0.29181507,0.32011014,0.17874841,-0.1187078,-0.30228257,0.06792437,-0.5510577,0.18524782,-0.104103155,-0.22313255,0.2716602,-0.056655914,-0.068748355,-0.08800208,0.15936017,0.0100993905,0.04509026,-0.08175043,0.029893637,0.26348028,0.12953286,0.12673388,-0.003226701,-0.33733904,0.121319704,0.014407219,0.39037806,0.15805037,-0.08589102,-0.023537643,0.18512538,-0.0033516036,-0.038505897,0.28196546,-0.3567722,0.035671458,0.040617794,0.011883961,0.087164104,-0.09846194,-0.14784947,0.09293878,0.106954485,0.21297966,-0.47182885,-0.060088076,-0.02168487,-0.21230944,-0.120283596,-0.30358702,0.21537606,0.20021957,0.4119198,-0.5304158,-0.14290167,0.44500867,-0.08070615,0.1417969,-0.06892569,0.018231437,-0.16359074
33,0.21722542,-0.16591413,0.0497961,0.03359703,0.24420853,-0.0999181,0.18126309,-0.035096385,0.017383218,-0.16303222,0.1044617,-0.14908205,0.102373146,0.01775838,-0.26768097,0.5088335,-0.31226364,-0.027591908,0.027983198,-0.18591037,0.16498347,-0.12124135,0.19512239,0.09116611,0.21021838,0.21699345,0.1420014,-0.13505854,-0.21662779,0.21716021,-0.31998274,-0.08201413,-0.22997357,0.3790507,0.029081896,-0.2695561,0.09209697,0.08620266,0.1506965,-0.45638967,-0.18722841,0.23473224,-0.07960158,-0.35701895,-0.00900273,0.022998229,-0.30859998,-0.3451786,-0.5061982,0.062350877,0.16233936,-0.07453702,-0.44645602,0.091234736,0.20930053,0.62620836,-0.48770547,-0.01503593,-0.55069256,-0.14155915,-0.07472671,0.29557753,0.14294696,0.015811453
34,-0.026692575,-0.1879396,0.1976017,0.23957925,0.026737198,-0.11638748,0.20952876,-0.24330513,-0.13421632,-0.07350047,0.26608366,0.17700279,0.63401157,0.12846966,0.1363544,0.1443201,-0.2595527,-0.35998574,-0.26057297,-0.22486636,-0.120787166,-0.2518224,-0.23063031,0.4737083,-0.47424147,0.07770205,-0.01695917,-0.14213854,-0.22866985,-0.11804393,-0.08955526,-0.21630177,-0.1695136,0.067957014,0.27524933,0.16762805,0.0013303171,-0.008447296,0.27997324,-0.33478346,-0.20911342,0.13598159,0.24440895,-0.014249063,0.2508075,-0.36551917,0.049011666,-0.06982807,-0.3573748,-0.19181353,0.13004689,0.024718251,-0.49349406,-0.023448939,0.042033065,-0.28727236,-0.45709327,0.2761482,0.22194257,-0.15519713,-0.035656165,-0.10171473,-0.008112871,-0.5117536
35,-0.14154139,0.18058647,0.044336397,0.071502976,0.05571935,-0.023611654,-0.018243564,-0.3698172,-0.052039865,-0.15944417,-0.019754425,-0.15141103,0.08993266,-0.18793179,0.23423143,-0.14525989,-0.25233808,0.5434009,-0.23979579,-0.4585931,-0.325826,-0.027947258,0.16902663,0.09990282,-0.12480685,0.1497574,0.63573056,-0.1336413,0.24439713,-0.31199467,-0.32654837,-0.08273784,0.06204606,-0.21910039,0.12440399,-0.084012896,-0.101152994,-0.60581446,0.29146764,-0.23703331,0.28514957,0.12427527,0.22508468,-0.3369517,-0.059789784,0.35125047,0.23216414,-0.07990229,-0.4857876,-0.15102531,-0.32751498,-0.058116946,-0.12738612,0.045744512,-0.17388274,-0.27714795,-0.18674286,-0.36242276,-0.4111185,-0.19476075,0.3702819,-0.27946445,0.4070286,0.030698106
36,0.0028644672,0.5245251,0.24774383,0.12682214,-0.2891628,-0.15934974,-0.07686496,-0.094634496,0.13697281,0.09297538,0.14661168,0.058937658,-0.040990878,0.2375169,-0.101341635,0.018271683,-0.10363314,0.046217732,-0.16682959,-0.2032245,0.032036673,0.03656364,-0.047302797,0.18641165,0.16015707,0.2686145,-0.083733946,0.26998597,-0.12952836,-0.0347948,0.13412213,0.34078327,-0.052115925,-0.0782492,0.16038552,-0.04591007,0.015353927,-0.09319031,-0.10419006,0.03951768,-0.11887648,-0.015093916,-0.14172359,-0.19824375,-0.22071627,-0.20849456,-0.001621021,-0.3559473,-0.19312222,-0.059620775,0.16445884,-0.113686085,-0.30303168,-0.25072372,-0.24526711,-0.21177979,-0.2225365,0.090060204,-0.14599235,-0.52391464,-0.017368745,-0.11061098,0.30913216,-0.0044881557
